Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
19-Jul-23,EQ,"1,681.10","1,688.75","1,675.00","1,677.50","1,684.75","1,685.10","1,682.45","1,757.50","1,337.00","1,64,67,567","27,70,59,15,264.20","4,27,479"
18-Jul-23,EQ,"1,698.00","1,704.00","1,670.00","1,678.90","1,678.00","1,677.50","1,683.83","1,757.50","1,337.00","4,05,38,409","68,25,98,72,564.30","7,04,526"
17-Jul-23,EQ,"1,650.00","1,682.00","1,633.00","1,644.50","1,678.35","1,678.90","1,660.51","1,757.50","1,337.00","2,46,26,464","40,89,25,07,962.10","4,35,163"
14-Jul-23,EQ,"1,653.60","1,653.60","1,635.00","1,641.10","1,645.60","1,644.50","1,642.71","1,757.50","1,337.00","1,23,63,607","20,30,98,76,686.30","4,62,491"
13-Jul-23,EQ,"1,656.70","1,657.45","1,638.05","1,632.95","1,644.55","1,641.10","1,648.62","1,757.50","1,337.00","2,09,56,773","34,54,98,48,532.65","4,32,632"
12-Jul-23,EQ,"1,655.35","1,666.30","1,627.15","1,648.40","1,636.00","1,632.95","1,643.87","1,757.50","1,337.00","3,54,79,179","58,32,32,00,837.30","4,98,866"
11-Jul-23,EQ,"1,663.00","1,676.00","1,645.50","1,656.45","1,650.00","1,648.40","1,664.90","1,757.50","1,337.00","2,53,35,213","42,18,04,75,745.65","3,79,237"
10-Jul-23,EQ,"1,661.00","1,676.75","1,649.70","1,660.40","1,658.00","1,656.45","1,659.09","1,757.50","1,337.00","1,91,99,221","31,85,31,62,737.15","3,17,755"
07-Jul-23,EQ,"1,665.00","1,675.00","1,656.30","1,675.00","1,659.90","1,660.40","1,663.54","1,757.50","1,337.00","99,63,168","16,57,41,55,973.95","3,20,533"
06-Jul-23,EQ,"1,673.00","1,687.85","1,660.40","1,673.30","1,674.80","1,675.00","1,674.63","1,757.50","1,337.00","2,60,78,272","43,67,15,47,685.50","3,77,109"
05-Jul-23,EQ,"1,716.25","1,720.00","1,668.55","1,728.20","1,676.60","1,673.30","1,681.63","1,757.50","1,337.00","1,85,82,877","31,24,95,28,816.15","4,77,385"
04-Jul-23,EQ,"1,723.45","1,747.00","1,713.80","1,719.80","1,725.00","1,728.20","1,731.04","1,757.50","1,337.00","1,93,97,594","33,57,79,54,092.40","3,79,487"
03-Jul-23,EQ,"1,712.50","1,757.50","1,710.00","1,701.40","1,721.00","1,719.80","1,733.31","1,757.50","1,337.00","2,20,52,058","38,22,31,61,666.50","5,40,520"
30-Jun-23,EQ,"1,704.00","1,708.80","1,683.25","1,676.15","1,700.75","1,701.40","1,698.70","1,734.45","1,330.05","2,03,49,508","34,56,76,75,938.75","3,26,058"
28-Jun-23,EQ,"1,670.00","1,679.90","1,660.50","1,658.60","1,673.10","1,676.15","1,673.30","1,734.45","1,330.05","2,97,81,475","49,83,32,44,547.95","4,39,006"
27-Jun-23,EQ,"1,642.95","1,672.90","1,638.55","1,635.55","1,658.25","1,658.60","1,654.06","1,734.45","1,330.05","1,69,15,932","27,97,99,20,820.40","3,14,003"
26-Jun-23,EQ,"1,645.00","1,650.75","1,628.70","1,643.50","1,635.70","1,635.55","1,637.33","1,734.45","1,330.05","80,65,157","13,20,53,20,442.40","1,99,872"
23-Jun-23,EQ,"1,637.55","1,659.90","1,634.05","1,643.60","1,642.90","1,643.50","1,649.49","1,734.45","1,294.15","1,06,69,609","17,59,94,09,604.40","2,48,242"
22-Jun-23,EQ,"1,640.00","1,657.55","1,639.05","1,635.60","1,644.80","1,643.60","1,646.70","1,734.45","1,294.15","2,82,98,070","46,59,85,24,688.10","3,67,511"
21-Jun-23,EQ,"1,616.00","1,637.25","1,611.00","1,607.50","1,635.55","1,635.60","1,628.22","1,734.45","1,294.15","1,21,54,473","19,79,01,44,100.50","2,76,058"
20-Jun-23,EQ,"1,604.15","1,611.00","1,590.65","1,604.15","1,609.40","1,607.50","1,599.68","1,734.45","1,294.15","1,00,02,813","16,00,12,91,895.20","2,87,119"
19-Jun-23,EQ,"1,611.00","1,614.25","1,598.35","1,602.75","1,604.90","1,604.15","1,606.00","1,734.45","1,294.15","1,24,14,573","19,93,77,59,557.10","1,62,051"
16-Jun-23,EQ,"1,587.15","1,609.20","1,584.00","1,582.05","1,602.50","1,602.75","1,598.25","1,734.45","1,271.60","78,89,636","12,60,95,94,950.00","1,81,546"
15-Jun-23,EQ,"1,604.00","1,605.95","1,579.00","1,601.75","1,580.55","1,582.05","1,590.41","1,734.45","1,271.60","1,76,88,738","28,13,24,06,376.20","2,71,848"
14-Jun-23,EQ,"1,610.45","1,612.00","1,600.20","1,603.50","1,601.75","1,601.75","1,606.76","1,734.45","1,271.60","1,00,56,984","16,15,91,16,681.25","1,74,004"
13-Jun-23,EQ,"1,590.10","1,609.00","1,590.10","1,600.80","1,607.95","1,603.50","1,602.57","1,734.45","1,271.60","1,39,63,054","22,37,68,05,987.05","1,84,386"
12-Jun-23,EQ,"1,612.55","1,615.80","1,599.45","1,610.60","1,600.90","1,600.80","1,604.34","1,734.45","1,271.60","67,04,146","10,75,57,48,258.60","1,56,138"
09-Jun-23,EQ,"1,615.90","1,618.50","1,607.00","1,608.70","1,609.50","1,610.60","1,613.79","1,734.45","1,271.60","91,06,289","14,69,56,39,541.25","1,85,235"
08-Jun-23,EQ,"1,603.25","1,626.00","1,603.25","1,607.70","1,608.35","1,608.70","1,617.05","1,734.45","1,271.60","1,86,97,761","30,23,52,56,021.30","2,68,888"
07-Jun-23,EQ,"1,603.45","1,612.55","1,596.00","1,599.40","1,611.50","1,607.70","1,602.11","1,734.45","1,271.60","1,24,74,513","19,98,55,40,209.25","1,76,230"
06-Jun-23,EQ,"1,607.65","1,609.85","1,592.25","1,604.40","1,605.00","1,599.40","1,598.09","1,734.45","1,271.60","1,60,91,426","25,71,56,16,381.45","2,33,706"
05-Jun-23,EQ,"1,614.50","1,616.50","1,602.45","1,606.50","1,604.05","1,604.40","1,610.46","1,734.45","1,271.60","93,48,621","15,05,56,21,088.80","1,53,663"
02-Jun-23,EQ,"1,612.45","1,614.80","1,601.00","1,604.00","1,605.50","1,606.50","1,607.62","1,734.45","1,271.60","89,29,855","14,35,58,01,663.75","3,16,938"
01-Jun-23,EQ,"1,619.90","1,619.90","1,600.00","1,610.85","1,601.00","1,604.00","1,612.23","1,734.45","1,271.60","2,51,83,469","40,60,14,23,757.55","2,82,772"
